Phrase;Soft Skill
Capacité à expliquer clairement des concepts complexes à des clients non techniques;Communication
Présente régulièrement les avancements lors des réunions de sprint;Communication
Bonne communication écrite dans la documentation technique;Communication
Travail en synergie avec les développeurs, designers et chefs de projet;Travail en équipe
Participe activement aux réunions d’équipe hebdomadaires;Travail en équipe
Toujours disponible pour aider ses collègues;Travail en équipe
Travail collaboratif avec les équipes produit et marketing;Collaboration
Conçoit les solutions techniques en coordination avec les parties prenantes;Collaboration
Met en place des outils facilitant la collaboration inter-équipes;Collaboration
Identifie rapidement les bugs et propose des solutions efficaces;Résolution de problèmes
Résout les conflits techniques avec pragmatisme;Résolution de problèmes
Apporte des solutions innovantes aux limitations techniques;Résolution de problèmes
S’adapte facilement aux nouveaux outils et langages;Adaptabilité / Flexibilité
A travaillé dans des environnements très changeants;Adaptabilité / Flexibilité
Passe rapidement d’un projet à l’autre selon les priorités;Adaptabilité / Flexibilité
Respecte toujours les deadlines même en cas de charge élevée;Gestion du temps
Sait prioriser ses tâches pour livrer dans les temps;Gestion du temps
Utilise des outils comme Trello ou Notion pour bien organiser son travail;Gestion du temps
Remet en question les choix techniques pour améliorer les performances;Esprit critique
Apporte un regard critique sur les spécifications fonctionnelles;Esprit critique
Propose des alternatives plus robustes lors des revues de code;Esprit critique
Travaille en autonomie sur des projets complets;Autonomie
Capacité à apprendre et à progresser seul;Autonomie
Prend des décisions techniques sans supervision constante;Autonomie
Garde son calme même en cas d'incident en production;Gestion du stress
Sait gérer la pression lors des périodes de livraison critique;Gestion du stress
Reste concentré et efficace face aux urgences techniques;Gestion du stress
Explore régulièrement de nouvelles technologies;Curiosité
Se forme de manière autonome en dehors des heures de travail;Curiosité
Participe à des conférences et webinaires techniques;Curiosité
Encadre des équipes de développeurs juniors;Leadership
Anime les réunions techniques et d’équipe;Leadership
Prend l’initiative de lancer de nouveaux projets;Leadership
Imagine des solutions originales aux problématiques UX;Créativité
Propose des designs innovants pour les interfaces utilisateurs;Créativité
Expérimente avec de nouvelles approches d’architecture logicielle;Créativité
Capacité à expliquer clairement des concepts complexes à des clients non techniques;Communication
